line_id	status	reason	n_candidates	n_atoms	n_sites
VERG-aene.1.1	correct		39	16	2
VERG-aene.1.2	correct		330	17	5
VERG-aene.1.3	correct		70	16	2
VERG-aene.1.4	correct		213	18	5
VERG-aene.1.5	correct		30	15	1
VERG-aene.1.6	correct		35	16	2
VERG-aene.1.7	correct		322	18	6
VERG-aene.1.8	correct		11	17	2
VERG-aene.1.9	correct		42	17	3
VERG-aene.1.10	correct		50	16	2
VERG-aene.1.11	correct		6	19	4
VERG-aene.1.12	correct		55	16	3
VERG-aene.1.13	correct		100	16	3
VERG-aene.1.14	correct		294	18	5
VERG-aene.1.15	correct		25	14	1
VERG-aene.1.16	correct		87	16	3
VERG-aene.1.17	correct		31	15	2
VERG-aene.1.18	correct		35	15	2
VERG-aene.1.19	correct		50	16	2
VERG-aene.1.20	correct		287	17	5
VERG-aene.1.21	correct		10	14	0
VERG-aene.1.22	correct		262	18	5
VERG-aene.1.23	correct		35	16	2
VERG-aene.1.24	correct		10	14	0
VERG-aene.1.25	correct		544	20	8
VERG-aene.1.26	correct		5	16	0
VERG-aene.1.27	correct		310	19	6
VERG-aene.1.28	correct		13	17	2
VERG-aene.1.29	correct		17	15	1
VERG-aene.1.30	correct		244	16	4
VERG-aene.1.31	correct		15	14	1
VERG-aene.1.32	correct		100	15	3
VERG-aene.1.33	correct		16	15	1
VERG-aene.1.34	correct		17	15	1
VERG-aene.1.35	correct		37	18	4
VERG-aene.1.36	correct		723	16	5
VERG-aene.1.37	correct		146	15	3
VERG-aene.1.38	correct		1190	18	7
VERG-aene.1.39	correct		85	15	2
VERG-aene.1.40	correct		460	17	5
VERG-aene.1.41	correct		378	17	5
VERG-aene.1.42	correct		495	18	5
VERG-aene.1.43	correct		667	18	6
VERG-aene.1.44	correct		25	14	1
VERG-aene.1.45	correct		17	17	2
VERG-aene.1.46	correct		1780	18	7
VERG-aene.1.47	correct		20	15	1
VERG-aene.1.48	correct		30	15	1
VERG-aene.1.49	correct		256	17	5
VERG-aene.1.50	correct		91	15	3
VERG-aene.1.51	correct		140	18	5
VERG-aene.1.52	correct		1392	17	7
VERG-aene.1.53	correct		5	13	0
VERG-aene.1.54	correct		40	15	2
VERG-aene.1.55	correct		25	14	1
VERG-aene.1.56	correct		68	17	4
VERG-aene.1.57	correct		40	16	2
VERG-aene.1.58	correct		122	17	4
VERG-aene.1.59	correct		50	16	2
VERG-aene.1.60	correct		20	15	1
VERG-aene.1.61	correct		55	15	2
VERG-aene.1.62	correct		20	16	2
VERG-aene.1.63	correct		70	16	2
VERG-aene.1.64	correct		94	14	3
VERG-aene.1.65	correct		156	19	5
VERG-aene.1.66	correct		25	14	1
VERG-aene.1.67	correct		49	17	3
VERG-aene.1.68	correct		110	16	3
VERG-aene.1.69	correct		754	15	5
VERG-aene.1.70	correct		56	17	3
VERG-aene.1.71	correct		26	16	2
VERG-aene.1.72	correct		20	14	2
VERG-aene.1.73	correct		220	16	4
VERG-aene.1.74	correct		10	14	0
VERG-aene.1.75	correct		20	15	1
VERG-aene.1.76	correct		198	17	5
VERG-aene.1.77	correct		40	16	2
VERG-aene.1.78	correct		602	16	5
VERG-aene.1.79	correct		70	16	3
VERG-aene.1.80	correct		10	14	0
VERG-aene.1.81	correct		75	18	4
VERG-aene.1.82	correct		20	16	1
VERG-aene.1.83	correct		20	15	1
VERG-aene.1.84	correct		50	16	2
VERG-aene.1.85	correct		47	17	3
VERG-aene.1.86	correct		20	15	1
VERG-aene.1.87	correct		30	15	1
VERG-aene.1.88	correct		56	16	3
VERG-aene.1.89	correct		200	16	4
VERG-aene.1.90	correct		70	18	4
VERG-aene.1.91	correct		91	15	3
VERG-aene.1.92	correct		1112	17	7
VERG-aene.1.93	correct		20	15	1
VERG-aene.1.94	correct		110	16	3
VERG-aene.1.95	correct		86	17	4
VERG-aene.1.96	correct		17	17	2
VERG-aene.1.97	correct		55	15	2
VERG-aene.1.98	correct		154	18	5
VERG-aene.1.99	correct		1212	22	9
VERG-aene.1.100	correct		20	15	1
VERG-aene.1.101	correct		1372	18	6
VERG-aene.1.102	correct		60	15	2
VERG-aene.1.103	correct		104	17	3
VERG-aene.1.104	correct		82	15	3
VERG-aene.1.105	correct		2	18	2
VERG-aene.1.106	correct		25	14	1
VERG-aene.1.107	correct		22	17	2
VERG-aene.1.108	correct		40	15	2
VERG-aene.1.109	correct		82	18	4
VERG-aene.1.110	correct		41	16	2
VERG-aene.1.111	correct		114	16	3
VERG-aene.1.112	correct		104	17	3
VERG-aene.1.113	correct		80	16	3
VERG-aene.1.114	correct		155	16	3
VERG-aene.1.115	correct		10	15	0
VERG-aene.1.116	gold_unreachable	elision_mismatch	9	16	1
VERG-aene.1.117	correct		27	18	3
VERG-aene.1.118	correct		11	13	1
VERG-aene.1.119	correct		75	17	3
VERG-aene.1.120	correct		3320	19	8
VERG-aene.1.121	correct		173	16	4
VERG-aene.1.122	correct		20	15	1
VERG-aene.1.123	correct		100	16	3
VERG-aene.1.124	correct		15	14	1
VERG-aene.1.125	correct		55	15	2
VERG-aene.1.126	correct		64	17	3
VERG-aene.1.127	correct		15	16	1
VERG-aene.1.128	correct		847	19	7
VERG-aene.1.129	correct		100	15	4
VERG-aene.1.130	correct		210	16	4
VERG-aene.1.131	correct		147	18	4
VERG-aene.1.132	correct		524	16	5
VERG-aene.1.133	correct		80	16	3
VERG-aene.1.134	correct		46	15	2
VERG-aene.1.135	correct		16	15	1
VERG-aene.1.136	correct		27	16	2
VERG-aene.1.137	correct		232	16	4
VERG-aene.1.138	correct		249	18	5
VERG-aene.1.139	correct		27	17	2
VERG-aene.1.140	correct		160	16	4
VERG-aene.1.141	correct		165	16	4
VERG-aene.1.142	correct		92	18	4
VERG-aene.1.143	correct		10	14	0
VERG-aene.1.144	correct		16	15	1
VERG-aene.1.145	correct		206	17	5
VERG-aene.1.146	correct		20	15	1
VERG-aene.1.147	correct		30	16	2
VERG-aene.1.148	correct		136	18	4
VERG-aene.1.149	correct		507	18	6
VERG-aene.1.150	correct		40	16	2
VERG-aene.1.151	correct		314	18	5
VERG-aene.1.152	correct		41	16	2
